Model,Transimission_Type,Year,CC,Usage Origin,Price
BMW X1,Automatic,2011,2000 CC,Kenyan Used,"KES 1,349,999"
Audi Q3,Automatic,2017,1400 CC,Foreign Used,"KES 3,499,999"
Toyota Hiace,Automatic,2016,3000 CC,Kenyan Used,"KES 3,299,999"
Subaru Impreza,Automatic,2014,1600 CC,Kenyan Used,"KES 1,099,999"
Toyota Hilux,Manual,2016,2400 CC,Kenyan Used,"KES 3,199,999"
Audi S3,Automatic,2017,2000 CC,Foreign Used,"KES 3,449,999"
Mitsubishi Triton,Automatic,2019,2500 CC,Foreign Used,"KES 5,599,999"
Volkswagen Golf TSI,Automatic,2012,1200 CC,Kenyan Used,"KES 899,999"
Toyota Mark X,Automatic,2007,2500 CC,Kenyan Used,"KES 679,999"
Smart Forfour,Automatic,2015,900 CC,Kenyan Used,"KES 1,749,999"
Toyota Fielder,Automatic,2014,1500 CC,Kenyan Used,"KES 1,349,999"
Jeep Renegade,Automatic,2017,1400 CC,Foreign Used,"KES 2,299,999"
Toyota Fielder,Automatic,2015,1500 CC,Kenyan Used,"KES 1,399,999"
Toyota Allion,Automatic,2005,1800 CC,Kenyan Used,"KES 849,999"
Nissan Wingroad,Automatic,2012,1500 CC,Kenyan Used,"KES 679,999"
Mercedes Benz CLA 250,Automatic,2014,2000 CC,Kenyan Used,"KES 2,299,999"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,499,999"
Subaru Forester XT,Automatic,2015,2000 CC,Kenyan Used,"KES 2,299,999"
Toyota Wish,Automatic,2011,1800 CC,Kenyan Used,"KES 1,049,999"
Mercedes Benz E250,Automatic,2013,1800 CC,Kenyan Used,"KES 3,099,999"
Peugeot 2008,Automatic,2017,1200 CC,Foreign Used,"KES 2,099,999"
Honda Fit,Automatic,2012,1500 CC,Kenyan Used,"KES 729,999"
Ford Ranger,Automatic,2017,3200 CC,Foreign Used,"KES 4,649,999"
Range Rover Sport,Automatic,2013,3000 CC,Kenyan Used,"KES 5,999,999"
Volkswagen Passat,Automatic,2012,1800 CC,Kenyan Used,"KES 1,349,999"
Toyota Harrier,Automatic,2014,2000 CC,Kenyan Used,"KES 2,499,999"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 1,599,999"
Honda Fit,Automatic,2014,1500 CC,Kenyan Used,"KES 1,059,999"
Toyota Hiace,Automatic,2010,3000 CC,Kenyan Used,"KES 999,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 4,649,999"
Mercedes Benz GLC 250,Automatic,2017,2000 CC,Foreign Used,"KES 6,599,999"
Mazda CX8,Automatic,2018,2200 CC,Foreign Used,"KES 3,949,999"
Peugeot 208,Automatic,2016,1200 CC,Foreign Used,"KES 1,379,999"
Porsche Macan S,Automatic,2015,3000 CC,Kenyan Used,"KES 4,849,999"
Subaru Forester XT,Automatic,2016,2000 CC,Kenyan Used,"KES 2,549,999"
Volkswagen Golf TSI,Automatic,2017,1400 CC,Foreign Used,"KES 2,449,999"
Volkswagen Golf TSI,Automatic,2014,1200 CC,Kenyan Used,"KES 1,449,999"
Peugeot 2008,Automatic,2017,1200 CC,Foreign Used,"KES 2,099,999"
