Model,Transimission_Type,Year,CC,Usage Origin,Price
Mitsubishi Galant Fortis,Automatic,2011,2000 CC,Kenyan Used,"KES 1,249,999"
Toyota Vanguard,Automatic,2011,2400 CC,Kenyan Used,"KES 1,749,999"
Toyota Premio,Automatic,2014,2000 CC,Kenyan Used,"KES 1,449,999"
Volkswagen Golf Variant,Automatic,2012,1400 CC,Kenyan Used,"KES 949,999"
Subaru Forester XT,Automatic,2013,2000 CC,Kenyan Used,"KES 1,949,999"
Nissan Bluebird,Automatic,2012,2000 CC,Kenyan Used,"KES 939,999"
Mercedes Benz C200,Automatic,2013,1800 CC,Kenyan Used,"KES 2,169,999"
Suzuki Alto,Automatic,2017,660 CC,Kenyan Used,"KES 859,999"
Nissan Note,Automatic,2014,1200 CC,Kenyan Used,"KES 799,999"
Nissan XTRAIL,Automatic,2017,2000 CC,Foreign Used,"KES 2,699,999"
Porsche Cayenne,Automatic,2014,3600 CC,Kenyan Used,"KES 4,599,999"
Toyota Vanguard,Automatic,2013,2400 CC,Kenyan Used,"KES 1,999,999"
Toyota Harrier,Automatic,2016,2000 CC,Kenyan Used,"KES 3,349,999"
Volkswagen Tiguan,Automatic,2016,2000 CC,Kenyan Used,"KES 3,379,999"
Subaru Forester,Automatic,2011,2000 CC,Kenyan Used,"KES 1,599,999"
Toyota Hilux,Automatic,2021,2500 CC,Kenyan Used,"KES 3,599,999"
Toyota Fielder,Automatic,2016,1500 CC,Kenyan Used,"KES 1,549,999"
Toyota Landcruiser Prado,Automatic,2006,2700 CC,Kenyan Used,"KES 2,169,999"
Subaru Impreza,Automatic,2015,1600 CC,Kenyan Used,"KES 1,469,999"
Toyota Camry,Automatic,2008,2400 CC,Kenyan Used,"KES 1,189,999"
Toyota Landcruiser Prado TX,Automatic,2012,2700 CC,Kenyan Used,"KES 3,499,999"
Toyota Hiace,Automatic,2012,3000 CC,Kenyan Used,"KES 2,499,999"
Toyota Crown,Automatic,2007,2500 CC,Kenyan Used,"KES 769,000"
Toyota Hilux,Manual,2012,2500 CC,Kenyan Used,"KES 2,349,999"
Nissan Sunny B15,Automatic,2002,1500 CC,Kenyan Used,"KES 399,999"
Subaru Forester XT,Automatic,2014,2000 CC,Kenyan Used,"KES 2,489,999"
Toyota Mark X,Automatic,2014,2500 CC,Kenyan Used,"KES 1,849,999"
Mazda CX3,Automatic,2016,1500 CC,Kenyan Used,"KES 1,789,999"
Mazda Demio,Automatic,2017,1500 CC,Foreign Used,"KES 1,489,999"
Nissan Note,Automatic,2011,1200 CC,Kenyan Used,"KES 694,999"
Mercedes Benz E43,Automatic,2017,3000 CC,Foreign Used,"KES 6,999,999"
Mini Cooper,Automatic,2017,2000 CC,Foreign Used,"KES 3,299,999"
Toyota Crown ATHLETE Hybrid,Automatic,2013,2500 CC,Kenyan Used,"KES 1,999,999"
Landrover Defender 110,Automatic,2021,3000 CC,Kenyan Used,"KES 18,999,999"
Honda CRV,Automatic,2012,2400 CC,Kenyan Used,"KES 1,649,999"
Volvo XC60 T5,Automatic,2012,2000 CC,Kenyan Used,"KES 1,699,999"
Lexus RX450h,Automatic,2009,3500 CC,Kenyan Used,"KES 1,959,999"
Volvo V60 T6,Automatic,2014,2000 CC,Kenyan Used,"KES 1,799,999"
Toyota Fortuner,Automatic,2008,3000 CC,Kenyan Used,"KES 1,799,999"
Nissan Serena,Automatic,2012,2000 CC,Kenyan Used,"KES 849,999"
BMW 320i,Automatic,2015,2000 CC,Kenyan Used,"KES 2,449,999"
Toyota Crown Royal Saloon,Automatic,2007,2500 CC,Kenyan Used,"KES 819,999"
Toyota Passo,Automatic,2017,1000 CC,Kenyan Used,"KES 959,999"
Toyota Mark X,Automatic,2016,2500 CC,Kenyan Used,"KES 1,879,999"
BMW 530i,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
BMW 530i,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
Mercedes Benz C200 AVANTGARDE,Automatic,2012,1800 CC,Kenyan Used,"KES 2,199,999"
Mitsubishi Pajero,Manual,1999,2400 CC,Kenyan Used,"KES 829,999"
Toyota Landcruiser Prado J120,Automatic,2008,2700 CC,Kenyan Used,"KES 2,249,999"
Lexus RX200T,Automatic,2017,2000 CC,Foreign Used,"KES 6,299,999"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,249,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,749,999"
Audi A7,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
BMW X5 XDrive35d M-SPORT,Automatic,2014,3000 CC,Kenyan Used,"KES 4,449,999"
Honda Fit,Automatic,2011,1500 CC,Kenyan Used,"KES 749,999"
Toyota Mark X,Automatic,2010,2500 CC,Kenyan Used,"KES 1,169,999"
Mazda CX5,Automatic,2014,2000 CC,Kenyan Used,"KES 2,299,999"
Toyota Axio,Automatic,2013,1500 CC,Kenyan Used,"KES 1,299,999"
Toyota Premio,Automatic,2016,1800 CC,Kenyan Used,"KES 1,799,999"
Mazda CX5,Automatic,2015,2000 CC,Kenyan Used,"KES 2,449,999"
Toyota Vanguard,Automatic,2013,2400 CC,Kenyan Used,"KES 2,299,999"
Renault Lutecia TROPHY,Automatic,2016,1600 CC,Foreign Used,"KES 1,749,999"
Nissan XTRAIL,Automatic,2007,2000 CC,Kenyan Used,"KES 1,049,999"
Lexus RX270,Automatic,2010,2700 CC,Kenyan Used,"KES 2,199,999"
Mazda CX3,Automatic,2016,1500 CC,Kenyan Used,"KES 1,799,999"
Nissan Sunny B15,Automatic,2002,1500 CC,Kenyan Used,"KES 469,999"
Nissan Tiida,Automatic,2012,1500 CC,Kenyan Used,"KES 749,999"
Subaru Outback,Automatic,2009,2500 CC,Kenyan Used,"KES 1,399,999"
Volkswagen Golf GTI,Automatic,2017,2000 CC,Foreign Used,"KES 3,099,999"
Toyota Landcruiser Prado TX,Automatic,2015,2700 CC,Kenyan Used,"KES 4,549,999"
Toyota Spade,Automatic,2014,1500 CC,Kenyan Used,"KES 1,189,999"
Toyota Noah,Automatic,2014,2000 CC,Kenyan Used,"KES 1,599,999"
Subaru Outback,Automatic,2017,3600 CC,Foreign Used,"KES 3,779,999"
Volvo S60,Automatic,2017,1600 CC,Foreign Used,"KES 2,399,999"
Subaru Forester,Automatic,2017,2000 CC,Foreign Used,"KES 2,999,999"
Toyota Harrier,Automatic,2016,2000 CC,Kenyan Used,"KES 3,249,999"
Volkswagen Golf Variant GTI,Automatic,2008,2000 CC,Kenyan Used,"KES 729,999"
Nissan NP300 Hardbody,Automatic,2004,3000 CC,Kenyan Used,"KES 719,999"
Mercedes Benz E250,Automatic,2016,2000 CC,Foreign Used,"KES 5,799,999"
Mazda Axela,Automatic,2016,2200 CC,Foreign Used,"KES 1,949,999"
Toyota Landcruiser Prado TX,Automatic,2018,2800 CC,Foreign Used,"KES 7,799,999"
Toyota Premio 260,Automatic,2016,2000 CC,Foreign Used,"KES 2,199,999"
Toyota Harrier,Automatic,2016,2000 CC,Kenyan Used,"KES 3,449,999"
Mitsubishi RVR,Automatic,2017,1800 CC,Foreign Used,"KES 2,549,999"
BMW X3,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
Toyota Harrier,Automatic,2005,2400 CC,Kenyan Used,"KES 999,999"
Mazda Axela,Automatic,2014,1500 CC,Kenyan Used,"KES 1,449,999"
Toyota Vitz Jewela,Automatic,2016,1300 CC,Kenyan Used,"KES 1,199,999"
Toyota Roomy,Automatic,2016,1000 CC,Foreign Used,"KES 1,299,999"
Volkswagen Touareg,Automatic,2008,3600 CC,Kenyan Used,"KES 1,749,999"
Toyota Landcruiser Prado TX,Automatic,2013,2700 CC,Kenyan Used,"KES 3,499,999"
Audi Q3 2.0T QUATTRO,Automatic,2014,2000 CC,Kenyan Used,"KES 2,599,999"
Jeep Cherokee Limited 3.2L V6,Automatic,2015,3200 CC,Kenyan Used,"KES 3,849,999"
Mercedes Benz E200,Automatic,2016,2000 CC,Foreign Used,"KES 5,199,999"
Mitsubishi Colt,Automatic,2008,1300 CC,Kenyan Used,"KES 669,999"
Toyota Mark II,Automatic,2003,2000 CC,Kenyan Used,"KES 559,999"
Volkswagen Golf GTI,Automatic,2013,2000 CC,Kenyan Used,"KES 1,749,999"
Mercedes Benz SLK 200 WALD,Automatic,2013,1800 CC,Kenyan Used,"KES 4,499,999"
Volkswagen Arteon,Automatic,2018,2000 CC,Foreign Used,"KES 4,899,999"
Mitsubishi Lancer Ralliart,Automatic,2009,2000 CC,Kenyan Used,"KES 979,999"
Volvo V60 T3,Automatic,2016,1600 CC,Foreign Used,"KES 2,349,999"
Subaru Exiga,Automatic,2010,2000 CC,Kenyan Used,"KES 749,999"
Range Rover Vogue 3.0 TDV6,Automatic,2015,3000 CC,Kenyan Used,"KES 9,699,999"
Mazda Axela,Automatic,2017,2200 CC,Foreign Used,"KES 2,349,999"
Mitsubishi Outlander,Automatic,2017,2000 CC,Foreign Used,"KES 3,499,999"
Landrover Defender 110,Automatic,1990,2500 CC,Kenyan Used,"KES 1,699,999"
Honda Fit Shuttle Hybrid,Automatic,2013,1500 CC,Kenyan Used,"KES 969,999"
Toyota Auris Hybrid,Automatic,2017,1800 CC,Foreign Used,"KES 1,979,999"
Mazda CX5,Automatic,2017,2500 CC,Foreign Used,"KES 3,649,999"
Toyota Auris,Automatic,2014,1500 CC,Kenyan Used,"KES 1,399,999"
BMW 320i Luxury,Automatic,2015,2000 CC,Kenyan Used,"KES 2,299,999"
Nissan NP300 Hardbody,Automatic,2006,3000 CC,Kenyan Used,"KES 549,999"
"Subaru Forester ""SF5""",Manual,2001,2000 CC,Kenyan Used,"KES 499,999"
Mercedes Benz C180,Automatic,1998,1800 CC,Kenyan Used,"KES 529,999"
Mazda CX5,Automatic,2017,2500 CC,Foreign Used,"KES 3,449,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,399,999"
Mercedes Benz ML 320,Automatic,2002,3200 CC,Kenyan Used,"KES 899,999"
Volkswagen Golf R,Automatic,2015,2000 CC,Kenyan Used,"KES 3,349,999"
Mitsubishi Pajero,Automatic,2000,3200 CC,Kenyan Used,"KES 999,999"
Volkswagen Golf 1.4L TSI,Automatic,2014,1400 CC,Kenyan Used,"KES 1,799,999"
Volvo S60 T4 R-Design,Automatic,2014,1600 CC,Kenyan Used,"KES 1,699,999"
Toyota Vitz,Automatic,2016,1300 CC,Kenyan Used,"KES 1,249,999"
Audi A5,Automatic,2016,2000 CC,Kenyan Used,"KES 2,999,999"
Nissan Note,Automatic,2013,1200 CC,Kenyan Used,"KES 849,999"
Mercedes Benz C250,Automatic,2015,2000 CC,Kenyan Used,"KES 3,849,999"
Subaru Forester XT,Automatic,2013,2000 CC,Kenyan Used,"KES 2,299,999"
Jeep Cherokee Sport,Automatic,2016,2400 CC,Foreign Used,"KES 3,779,999"
Toyota Avensis,Automatic,2012,1800 CC,Kenyan Used,"KES 1,199,999"
Toyota Mark X,Automatic,2005,2500 CC,Kenyan Used,"KES 699,999"
Toyota Fielder,Automatic,2016,1800 CC,Foreign Used,"KES 1,749,999"
Toyota Crown Royal Saloon,Automatic,2011,2500 CC,Kenyan Used,"KES 1,249,999"
Mazda CX5,Automatic,2015,2200 CC,Kenyan Used,"KES 2,099,999"
Nissan March,Automatic,2014,1200 CC,Kenyan Used,"KES 629,999"
Subaru Forester,Automatic,2013,2000 CC,Kenyan Used,"KES 1,999,999"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 2,299,999"
Toyota Allion 1.5L,Automatic,2009,1500 CC,Kenyan Used,"KES 1,199,999"
Toyota Axio,Automatic,2017,1500 CC,Foreign Used,"KES 1,999,999"
Mitsubishi Outlander PHEV,Automatic,2014,2000 CC,Kenyan Used,"KES 2,199,999"
Mazda Atenza,Automatic,2017,2200 CC,Foreign Used,"KES 2,849,999"
Volkswagen Tiguan,Automatic,2014,1400 CC,Kenyan Used,"KES 1,949,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Foreign Used,"KES 3,999,999"
Nissan March,Automatic,2013,1200 CC,Kenyan Used,"KES 549,999"
Mercedes Benz C180,Automatic,2017,1600 CC,Foreign Used,"KES 3,349,999"
Toyota Mark X,Automatic,2008,2500 CC,Kenyan Used,"KES 849,999"
Toyota Hiace 2.7L,Automatic,2009,2700 CC,Kenyan Used,"KES 999,999"
Toyota Harrier,Automatic,2016,2000 CC,Foreign Used,"KES 3,999,999"
Toyota Vitz,Automatic,2009,1300 CC,Kenyan Used,"KES 649,999"
Mazda Demio,Automatic,2014,1300 CC,Kenyan Used,"KES 889,999"
Mitsubishi Colt,Manual,2011,1500 CC,Kenyan Used,"KES 989,999"
Nissan Note DIG-S,Automatic,2013,1200 CC,Kenyan Used,"KES 899,999"
Toyota Ractis,Automatic,2014,1500 CC,Kenyan Used,"KES 1,349,999"
Mercedes Benz E200,Automatic,2016,2000 CC,Foreign Used,"KES 5,499,999"
Toyota Kluger,Automatic,2018,3500 CC,Foreign Used,"KES 4,799,999"
Mercedes Benz GL 350d,Automatic,2015,3000 CC,Foreign Used,"KES 8,899,999"
Range Rover Sport,Automatic,2016,3000 CC,Foreign Used,"KES 8,499,999"
Jeep Grand Cherokee,Automatic,2016,3600 CC,Foreign Used,"KES 5,499,999"
Toyota Fortuner,Automatic,2016,2800 CC,Foreign Used,"KES 5,899,999"
Toyota Mark X,Automatic,2015,2500 CC,Kenyan Used,"KES 1,799,999"
Volkswagen Passat Variant 1.4L,Automatic,2016,1400 CC,Kenyan Used,"KES 1,899,999"
Toyota Mark II Regalia,Automatic,2002,2000 CC,Kenyan Used,"KES 529,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 5,199,999"
Toyota Fielder,Automatic,2016,1500 CC,Kenyan Used,"KES 1,689,999"
Audi A4 2.0T QUATTRO,Automatic,2015,2000 CC,Kenyan Used,"KES 2,099,999"
Volvo XC90,Automatic,2017,2000 CC,Foreign Used,"KES 7,199,999"
Mazda CX8,Automatic,2017,2200 CC,Foreign Used,"KES 3,899,999"
Nissan Murano 3.5L V6,Automatic,2011,3500 CC,Kenyan Used,"KES 1,199,999"
"Honda Vezel ""RS"" Hybrid",Automatic,2016,1500 CC,Kenyan Used,"KES 2,199,999"
Mitsubishi Pajero GLX,Manual,2006,2350 CC,Kenyan Used,"KES 1,399,999"
Toyota Landcruiser Prado TX,Automatic,2006,2700 CC,Kenyan Used,"KES 2,199,999"
Mazda CX5,Automatic,2017,2200 CC,Foreign Used,"KES 3,649,999"
Volkswagen Golf Variant 1.4L TSI,Automatic,2014,1400 CC,Kenyan Used,"KES 1,549,999"
Suzuki Swift,Automatic,2016,1200 CC,Foreign Used,"KES 1,199,999"
Volkswagen Golf Variant 1.2L TSI,Automatic,2014,1200 CC,Kenyan Used,"KES 1,249,999"
Toyota Vanguard,Automatic,2010,2400 CC,Kenyan Used,"KES 1,749,999"
Volkswagen Polo,Automatic,2012,1200 CC,Kenyan Used,"KES 889,999"
Nissan Latio,Automatic,2015,1200 CC,Kenyan Used,"KES 949,999"
Jeep Compass,Automatic,2015,2000 CC,Kenyan Used,"KES 2,499,999"
Toyota Carina,Manual,1998,1500 CC,Kenyan Used,"KES 399,999"
Ford Ranger 3.2L,Manual,2014,3200 CC,Kenyan Used,"KES 2,999,999"
Volvo V40 T3,Automatic,2014,1600 CC,Kenyan Used,"KES 1,679,999"
Toyota Fortuner,Automatic,2015,3000 CC,Kenyan Used,"KES 4,499,999"
BMW X1,Automatic,2016,1500 CC,Foreign Used,"KES 3,899,999"
Audi A3,Automatic,2016,1400 CC,Foreign Used,"KES 2,099,999"
Audi SQ5 3.0T QUATTRO,Automatic,2016,3000 CC,Foreign Used,"KES 5,099,999"
Subaru Outback,Automatic,2015,2500 CC,Kenyan Used,"KES 2,499,999"
Volvo XC60 T5,Automatic,2011,2000 CC,Kenyan Used,"KES 2,149,999"
Toyota Landcruiser Prado TZ-G,Automatic,2015,2800 CC,Kenyan Used,"KES 5,849,999"
Suzuki Escudo,Automatic,2014,1600 CC,Kenyan Used,"KES 1,949,999"
Toyota Landcruiser Prado TX,Automatic,2016,2800 CC,Foreign Used,"KES 7,299,999"
Subaru Outback,Automatic,2016,2500 CC,Foreign Used,"KES 3,349,999"
Jeep Wrangler,Automatic,2016,3600 CC,Foreign Used,"KES 5,299,999"
Toyota Hiace,Automatic,2015,3000 CC,Kenyan Used,"KES 2,649,999"
Toyota Crown Royal Saloon,Automatic,2016,2500 CC,Foreign Used,"KES 2,999,999"
Mercedes Benz C180,Automatic,2015,1600 CC,Kenyan Used,"KES 2,999,999"
Mercedes Benz C250,Automatic,2016,2000 CC,Foreign Used,"KES 3,999,999"
BMW 118i,Automatic,2017,1500 CC,Foreign Used,"KES 2,349,999"
BMW X1,Automatic,2016,2000 CC,Foreign Used,"KES 3,199,999"
BMW X5 XDrive 30i,Automatic,2009,3000 CC,Kenyan Used,"KES 2,849,999"
Suzuki Escudo,Automatic,2016,1600 CC,Kenyan Used,"KES 2,149,999"
BMW X5 3.0D,Automatic,2006,3000 CC,Kenyan Used,"KES 1,469,999"
Mercedes Benz GLE350D,Automatic,2017,3000 CC,Foreign Used,"KES 8,999,999"
Nissan BlueBird,Automatic,2008,2000 CC,Kenyan Used,"KES 599,999"
Subaru Forester,Automatic,2013,2000 CC,Kenyan Used,"KES 1,829,999"
Lexus RX450H,Automatic,2009,3500 CC,Kenyan Used,"KES 1,849,999"
Suzuki S CROSS,Automatic,2017,1600 CC,Foreign Used,"KES 2,449,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,899,999"
Toyota Wish,Automatic,2011,1800 CC,Kenyan Used,"KES 1,099,999"
Toyota Ipsum,Automatic,2003,2400 CC,Kenyan Used,"KES 649,999"
Mazda CX3,Automatic,2017,2000 CC,Foreign Used,"KES 2,699,999"
Subaru Forester XT / SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 3,479,999"
Toyota Premio,Automatic,2005,1800 CC,Kenyan Used,"KES 859,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 2,549,999"
Mazda CX8,Automatic,2017,2200 CC,Foreign Used,"KES 3,899,999"
Mitsubishi Delica,Manual,1979,1200 CC,Kenyan Used,"KES 399,999"
Volkswagen Tiguan,Automatic,2017,1400 CC,Foreign Used,"KES 3,749,999"
BMW X3,Automatic,2017,2000 CC,Foreign Used,"KES 4,599,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
Toyota Mark X,Automatic,2008,2500 CC,Kenyan Used,"KES 749,999"
Subaru Forester XT with ROOF CARGO KIT,Automatic,2014,2000 CC,Kenyan Used,"KES 2,379,999"
Subaru Legacy 2.0L,Automatic,2007,2000 CC,Kenyan Used,"KES 729,999"
"BMW X5 XDrive35d ""F15"" / PANO SUNROOF",Automatic,2013,3000 CC,Kenyan Used,"KES 4,399,999"
Volkswagen Polo,Automatic,2011,1200 CC,Kenyan Used,"KES 789,999"
Range Rover Evoque,Automatic,2017,2200 CC,Foreign Used,"KES 5,299,999"
Mercedes Benz C200,Automatic,2015,2000 CC,Kenyan Used,"KES 3,449,999"
Hyundai Sante Fe,Automatic,2017,2200 CC,Foreign Used,"KES 3,999,999"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,299,999"
Volkswagen Tiguan,Automatic,2014,1400 CC,Kenyan Used,"KES 2,349,999"
Jincheng JC400 5,Manual,2021,400 CC,Kenyan Used,"KES 299,999"
Yamaha Wolverine,Automatic,2003,350 CC,Kenyan Used,"KES 299,999"
Mercedes Benz C200,Automatic,2017,2000 CC,Foreign Used,"KES 4,699,999"
Range Rover Evoque SD4,Automatic,2012,2200 CC,Kenyan Used,"KES 3,599,999"
BMW 530i,Automatic,2017,2000 CC,Foreign Used,"KES 4,599,999"
Mazda CX5,Automatic,2016,2200 CC,Foreign Used,"KES 2,599,999"
Toyota Vanguard,Automatic,2010,2400 CC,Kenyan Used,"KES 1,649,999"
Volkswagen Golf GT,Automatic,2010,1400 CC,Kenyan Used,"KES 799,999"
Mazda Bongo,Automatic,2012,1500 CC,Kenyan Used,"KES 799,999"
Range Rover Vogue 3.0 TDV6 SE,Automatic,2013,3000 CC,Kenyan Used,"KES 9,699,999"
Toyota Royal Crown i-Four,Automatic,2016,2500 CC,Foreign Used,"KES 2,849,999"
Subaru Outback,Automatic,2016,2500 CC,Foreign Used,"KES 2,899,999"
Honda Stepwagon,Automatic,2015,2000 CC,Kenyan Used,"KES 1,699,999"
Volvo XC60,Automatic,2018,2000 CC,Foreign Used,"KES 5,449,999"
Volvo XC60,Automatic,2018,2000 CC,Foreign Used,"KES 5,249,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Kenyan Used,"KES 4,199,999"
Mitsubishi  eK Wagon,Automatic,2017,660 CC,Foreign Used,"KES 789,999"
Mitsubishi Outlander PHEV,Automatic,2016,2000 CC,Foreign Used,"KES 3,499,999"
Nissan Latio,Automatic,2015,1200 CC,Foreign Used,"KES 1,169,999"
BMW X1,Automatic,2016,1500 CC,Foreign Used,"KES 3,399,999"
Nissan Sylphy,Automatic,2013,1800 CC,Kenyan Used,"KES 1,079,999"
Smart Forfour,Automatic,2017,900 CC,Foreign Used,"KES 2,839,999"
Audi A6 2.8L FSI QUATTRO C7 S-LINE,Automatic,2015,2800 CC,Kenyan Used,"KES 2,999,999"
Toyota Premio 260,Automatic,2014,1800 CC,Kenyan Used,"KES 1,749,999"
Mercedes Benz C180,Automatic,2014,1600 CC,Kenyan Used,"KES 2,999,999"
Volkswagen Touareg 3.6L V6,Automatic,2011,3600 CC,Kenyan Used,"KES 2,499,999"
Volkswagen Citi Golf 1.4i,Automatic,2002,1400 CC,Kenyan Used,"KES 399,999"
Mitsubishi Outlander PHEV,Automatic,2015,2000 CC,Kenyan Used,"KES 2,899,999"
Mercedes Benz ML350 / SUNROOF,Automatic,2009,3500 CC,Kenyan Used,"KES 1,699,999"
"Toyota LiteAce GL ""S402""",Automatic,2016,1500 CC,Kenyan Used,"KES 999,999"
Toyota Fielder,Automatic,2018,1500 CC,Foreign Used,"KES 1,969,999"
BMW X1,Automatic,2017,1500 CC,Foreign Used,"KES 3,299,999"
Volvo V40 T5 AWD 'Cross-Country' Spec,Automatic,2015,2000 CC,Kenyan Used,"KES 1,849,999"
Honda Fit,Automatic,2016,1300 CC,Foreign Used,"KES 1,449,999"
Nissan Teana XL,Automatic,2016,2500 CC,Kenyan Used,"KES 1,599,999"
Volvo XC60 D4,Automatic,2016,2000 CC,Foreign Used,"KES 2,699,999"
Audi Q5 2.0T,Automatic,2016,2000 CC,Foreign Used,"KES 4,349,999"
Toyota Landcruiser Prado TX,Automatic,2009,2700 CC,Kenyan Used,"KES 2,499,999"
Audi Q5 2.0T QUATTRO S-LINE,Automatic,2017,2000 CC,Foreign Used,"KES 4,549,999"
Toyota Landcruiser Prado TX,Automatic,2016,2700 CC,Kenyan Used,"KES 5,299,999"
"BMW 320i ""F30""",Automatic,2013,2000 CC,Kenyan Used,"KES 1,899,999"
Peugeot 3008,Automatic,2017,1600 CC,Foreign Used,"KES 3,099,999"
Lexus RX450H,Automatic,2008,3500 CC,Kenyan Used,"KES 1,299,999"
Toyota Hilux D CAB,Automatic,2016,2500 CC,Kenyan Used,"KES 4,599,999"
Subaru Legacy,Automatic,2015,2500 CC,Kenyan Used,"KES 1,599,999"
Toyota Landcruiser Prado TX,Automatic,2016,2700 CC,Foreign Used,"KES 5,499,999"
Audi Q5,Automatic,2014,2000 CC,Kenyan Used,"KES 2,399,999"
Smart Fortwo,Automatic,2017,900 CC,Foreign Used,"KES 2,249,999"
Smart Fortwo,Automatic,2017,900 CC,Foreign Used,"KES 2,999,999"
Smart Fortwo,Automatic,2016,900 CC,Foreign Used,"KES 2,599,999"
Mitsubishi Outlander PHEV,Automatic,2016,2000 CC,Foreign Used,"KES 3,499,999"
Mitsubishi Outlander / 7 SEATS,Automatic,2018,2400 CC,Foreign Used,"KES 3,799,999"
Mazda CX5,Automatic,2018,2500 CC,Foreign Used,"KES 3,649,999"
"Honda Vezel ""RS"" Hybrid",Automatic,2017,1500 CC,Foreign Used,"KES 3,149,999"
Mercedes Benz GLE 350D,Automatic,2016,3000 CC,Foreign Used,"KES 9,499,999"
BMW X3 XDrive 20d M-SPORT / PANORAMIC SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 4,299,999"
Toyota Harrier,Automatic,2017,2500 CC,Foreign Used,"KES 4,499,999"
Toyota CH-R,Automatic,2016,1800 CC,Foreign Used,"KES 3,499,999"
Subaru Legacy B4 / SUNROOF,Automatic,2016,2500 CC,Foreign Used,"KES 2,349,999"
Nissan Vanette,Automatic,2009,1800 CC,Kenyan Used,"KES 599,999"
Mazda CX5,Automatic,2016,2200 CC,Foreign Used,"KES 2,799,999"
Nissan Teana XL,Automatic,2014,2500 CC,Kenyan Used,"KES 1,389,999"
Toyota Voxy,Automatic,2016,2000 CC,Foreign Used,"KES 2,199,999"
Toyota FJ CRUISER,Automatic,2011,4000 CC,Kenyan Used,"KES 3,299,999"
Peugeot 508 1.6L,Automatic,2013,1600 CC,Kenyan Used,"KES 1,429,999"
Mazda CX5,Automatic,2014,2000 CC,Kenyan Used,"KES 2,349,999"
Nissan Note,Automatic,2013,1200 CC,Kenyan Used,"KES 689,999"
Toyota Landcruiser Prado TX,Automatic,2013,2700 CC,Kenyan Used,"KES 3,399,999"
Toyota Mark X,Automatic,2010,2500 CC,Kenyan Used,"KES 1,099,999"
Toyota Vitz,Automatic,2016,1300 CC,Kenyan Used,"KES 899,999"
Volvo V60 T5,Automatic,2017,2000 CC,Foreign Used,"KES 2,499,999"
Volkswagen Golf TSI 1.4L,Automatic,2015,1400 CC,Kenyan Used,"KES 1,749,999"
Nissan Sylphy,Automatic,2014,1800 CC,Kenyan Used,"KES 1,249,999"
Mercedes Benz E220d,Automatic,2016,2200 CC,Foreign Used,"KES 3,449,999"
Subaru Forester,Automatic,2016,2000 CC,Kenyan Used,"KES 2,999,999"
Nissan Note DIG-S,Automatic,2013,1200 CC,Kenyan Used,"KES 779,999"
Mitsubishi Pajero Sport,Automatic,2017,2400 CC,Foreign Used,"KES 5,649,999"
BMW X1,Automatic,2012,2000 CC,Kenyan Used,"KES 1,549,999"
"Toyota Fielder 1.5 ""G""",Automatic,2016,1500 CC,Kenyan Used,"KES 1,889,999"
"Toyota Fielder 1.5 ""G""",Automatic,2016,1500 CC,Kenyan Used,"KES 1,889,999"
Toyota Landcruiser Prado TX,Automatic,2014,2700 CC,Kenyan Used,"KES 3,649,999"
Subaru Forester XT,Automatic,2016,2000 CC,Foreign Used,"KES 3,499,999"
Mazda Demio,Automatic,2016,1500 CC,Foreign Used,"KES 1,249,999"
Toyota Premio 1.8L,Automatic,2012,1800 CC,Kenyan Used,"KES 1,399,999"
Jeep Wrangler,Automatic,2017,3600 CC,Foreign Used,"KES 5,599,999"
Nissan Sylphy,Automatic,2016,1800 CC,Kenyan Used,"KES 1,189,999"
Volvo XC90,Automatic,2017,2000 CC,Foreign Used,"KES 6,599,999"
Nissan XTRAIL,Automatic,2017,2000 CC,Kenyan Used,"KES 2,599,999"
Subaru Outback / SUNROOF,Automatic,2010,2500 CC,Kenyan Used,"KES 1,249,999"
Honda Fit,Automatic,2012,1300 CC,Kenyan Used,"KES 699,999"
Toyota Landcruiser Prado TZ-G,Automatic,2010,4000 CC,Kenyan Used,"KES 3,999,999"
Toyota Mark X,Automatic,2016,2500 CC,Foreign Used,"KES 2,399,999"
Toyota Probox,Automatic,2013,1500 CC,Kenyan Used,"KES 989,999"
Mazda CX3,Automatic,2016,1500 CC,Kenyan Used,"KES 2,149,999"
