Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Mazda Demio,Mazda,Demio,Automatic,1300.0,2017,7,Foreign Used,1419999.0,1M-2M
Mazda Demio,Mazda,Demio,Automatic,1500.0,2017,7,Foreign Used,1449999.0,1M-2M
Toyota Noah,Toyota,Noah,Automatic,2000.0,2017,7,Foreign Used,2849999.0,2M-3M
Ford Ranger,Ford,Ranger,Automatic,3200.0,2017,7,Kenyan Used,4599999.0,3M-5M
Honda Fit Shuttle,Honda,Fit Shuttle,Automatic,1500.0,2017,7,Foreign Used,1649999.0,1M-2M
Audi A4,Audi,A4,Automatic,2000.0,2013,11,Kenyan Used,1549999.0,1M-2M
Nissan Ad Van,Nissan,Ad Van,Automatic,1500.0,2013,11,Kenyan Used,489999.0,0-500k
Mazda Cx3,Mazda,Cx3,Automatic,1500.0,2014,10,Kenyan Used,1489999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2015,9,Kenyan Used,1849999.0,1M-2M
Mazda Demio,Mazda,Demio,Automatic,1300.0,2016,8,Kenyan Used,1279999.0,1M-2M
Honda Fit,Honda,Fit,Automatic,1300.0,2017,7,Foreign Used,1549999.0,1M-2M
Honda Vezel,Honda,Vezel,Automatic,1500.0,2016,8,Kenyan Used,2549999.0,2M-3M
Toyota Auris,Toyota,Auris,Automatic,1800.0,2014,10,Kenyan Used,1279999.0,1M-2M
Ford Ranger,Ford,Ranger,Automatic,3200.0,2014,10,Kenyan Used,3299999.0,3M-5M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2008,16,Kenyan Used,2099999.0,2M-3M
Mazda Atenza,Mazda,Atenza,Automatic,2200.0,2017,7,Foreign Used,2599999.0,2M-3M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2017,7,Kenyan Used,3949999.0,3M-5M
Bmw X1,Bmw,X1,Automatic,2000.0,2011,13,Kenyan Used,1349999.0,1M-2M
Audi Q3,Audi,Q3,Automatic,1400.0,2017,7,Foreign Used,3499999.0,3M-5M
Toyota Hiace,Toyota,Hiace,Automatic,3000.0,2016,8,Kenyan Used,3299999.0,3M-5M
Subaru Impreza,Subaru,Impreza,Automatic,1600.0,2014,10,Kenyan Used,1099999.0,1M-2M
