Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Honda Cr Z,Honda,Cr Z,Automatic,1500.0,2015,9,Kenyan Used,1399999.0,1M-2M
Bmw 320I,Bmw,320I,Automatic,2000.0,2008,16,Kenyan Used,969999.0,500k-1M
Bmw 520I,Bmw,520I,Automatic,2000.0,2012,12,Kenyan Used,1799999.0,1M-2M
Mazda Axela,Mazda,Axela,Automatic,2200.0,2015,9,Kenyan Used,1649999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2014,10,Kenyan Used,3049999.0,3M-5M
Toyota Fielder Hybrid,Toyota,Fielder Hybrid,Automatic,1500.0,2015,9,Kenyan Used,1429999.0,1M-2M
Daihatsu Begu,Daihatsu,Begu,Automatic,1500.0,2014,10,Kenyan Used,1499999.0,1M-2M
Volkswagen Polo,Volkswagen,Polo,Automatic,1400.0,2005,19,Kenyan Used,299999.0,0-500k
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2018,6,Foreign Used,5599999.0,5M-10M
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,1400.0,2017,7,Kenyan Used,3999999.0,3M-5M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2013,11,Kenyan Used,1999999.0,1M-2M
Renault Megane,Renault,Megane,Automatic,1600.0,2017,7,Foreign Used,2299999.0,2M-3M
Lexus Ls460,Lexus,Ls460,Automatic,4600.0,2014,10,Kenyan Used,4899999.0,3M-5M
Subaru Xv,Subaru,Xv,Automatic,2000.0,2012,12,Kenyan Used,1499999.0,1M-2M
Land Rover Discovery V,Land Rover,Discovery V,Automatic,3000.0,2017,7,Kenyan Used,9999999.0,5M-10M
Daihatsu Mira,Daihatsu,Mira,Automatic,660.0,2017,7,Foreign Used,879999.0,500k-1M
Subaru Xv,Subaru,Xv,Automatic,2000.0,2015,9,Kenyan Used,1849999.0,1M-2M
Bmw 116I,Bmw,116I,Automatic,1600.0,2014,10,Kenyan Used,1499999.0,1M-2M
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,4549999.0,3M-5M
Volkswagen Golf Alltrack,Volkswagen,Golf Alltrack,Automatic,1800.0,2016,8,Kenyan Used,2149999.0,2M-3M
Volkswagen Passat,Volkswagen,Passat,Automatic,1800.0,2012,12,Kenyan Used,1689999.0,1M-2M
Toyota Hilux Surf,Toyota,Hilux Surf,Automatic,2700.0,2004,20,Kenyan Used,1179999.0,1M-2M
Toyota Carina,Toyota,Carina,Manual,2000.0,1998,26,Kenyan Used,419999.0,0-500k
Mazda Cx5,Mazda,Cx5,Automatic,2000.0,2016,8,Foreign Used,2649999.0,2M-3M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2017,7,Kenyan Used,3449999.0,3M-5M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2013,11,Kenyan Used,729999.0,500k-1M
Range Rover Vogue,Range Rover,Vogue,Automatic,4400.0,2008,16,Kenyan Used,3499999.0,3M-5M
Suzuki Swift,Suzuki,Swift,Automatic,1200.0,2017,7,Foreign Used,1299999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2016,8,Foreign Used,2999999.0,2M-3M
Mercedes Benz C250,Mercedes Benz,C250,Automatic,2143.0,2013,11,Kenyan Used,2299999.0,2M-3M
Ford Ranger,Ford,Ranger,Automatic,3200.0,2015,9,Kenyan Used,4999999.0,3M-5M
Honda Freed,Honda,Freed,Automatic,1500.0,2015,9,Foreign Used,1299999.0,1M-2M
Volvo V60,Volvo,V60,Automatic,1600.0,2016,8,Foreign Used,2049999.0,2M-3M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2016,8,Foreign Used,3049999.0,3M-5M
Nissan Note,Nissan,Note,Automatic,1200.0,2016,8,Kenyan Used,1189999.0,1M-2M
Subaru Impreza,Subaru,Impreza,Automatic,2000.0,2014,10,Kenyan Used,1449999.0,1M-2M
Suzuki Swift,Suzuki,Swift,Automatic,1200.0,2014,10,Kenyan Used,789999.0,500k-1M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2012,12,Kenyan Used,1399999.0,1M-2M
Subaru Impreza,Subaru,Impreza,Manual,1500.0,2009,15,Kenyan Used,799999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2013,11,Kenyan Used,749999.0,500k-1M
Lexus Nx200T,Lexus,Nx200T,Automatic,2000.0,2016,8,Kenyan Used,3799999.0,3M-5M
Honda Crv,Honda,Crv,Automatic,2400.0,2013,11,Kenyan Used,1549999.0,1M-2M
Subaru Levorg,Subaru,Levorg,Automatic,2000.0,2016,8,Kenyan Used,2199999.0,2M-3M
Subaru Legacy,Subaru,Legacy,Automatic,2500.0,2012,12,Kenyan Used,1399999.0,1M-2M
Toyota Rav4,Toyota,Rav4,Automatic,2400.0,2009,15,Kenyan Used,1399999.0,1M-2M
Audi A5,Audi,A5,Automatic,2000.0,2015,9,Kenyan Used,2599999.0,2M-3M
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2017,7,Foreign Used,5699999.0,5M-10M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2014,10,Kenyan Used,1399999.0,1M-2M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2017,7,Foreign Used,3799999.0,3M-5M
Mitsubishi Outlander,Mitsubishi,Outlander,Automatic,2400.0,2014,10,Kenyan Used,2249999.0,2M-3M
Volkswagen Passat,Volkswagen,Passat,Automatic,1800.0,2011,13,Kenyan Used,979999.0,500k-1M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2009,15,Kenyan Used,899999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2017,7,Foreign Used,1229999.0,1M-2M
Mazda Cx3,Mazda,Cx3,Automatic,1500.0,2015,9,Kenyan Used,1499999.0,1M-2M
Toyota Fielder,Toyota,Fielder,Automatic,1800.0,2012,12,Kenyan Used,1145000.0,1M-2M
Toyota Isis,Toyota,Isis,Automatic,1800.0,2011,13,Kenyan Used,889999.0,500k-1M
Nissan Pino,Nissan,Pino,Automatic,660.0,2009,15,Kenyan Used,409999.0,0-500k
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2012,12,Kenyan Used,709999.0,500k-1M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2012,12,Kenyan Used,1479999.0,1M-2M
Toyota Nze,Toyota,Nze,Automatic,1800.0,2002,22,Kenyan Used,599999.0,500k-1M
Volkswagen Golf Gti,Volkswagen,Golf Gti,Automatic,2000.0,2018,6,Foreign Used,3499999.0,3M-5M
Toyota Runx,Toyota,Runx,Automatic,1500.0,2002,22,Kenyan Used,599999.0,500k-1M
Subaru Impreza,Subaru,Impreza,Automatic,2000.0,2014,10,Kenyan Used,1399999.0,1M-2M
Toyota Harrier,Toyota,Harrier,Automatic,2500.0,2017,7,Foreign Used,4499999.0,3M-5M
Mercedes Benz Gla 45,Mercedes Benz,Gla 45,Automatic,2000.0,2015,9,Kenyan Used,5449999.0,5M-10M
Toyota Harrier,Toyota,Harrier,Automatic,2400.0,2004,20,Kenyan Used,999999.0,500k-1M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2013,11,Kenyan Used,2099999.0,2M-3M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2017,7,Foreign Used,1799999.0,1M-2M
Toyota Isis,Toyota,Isis,Automatic,1800.0,2015,9,Kenyan Used,1169999.0,1M-2M
Toyota Allion,Toyota,Allion,Automatic,1800.0,2006,18,Kenyan Used,769999.0,500k-1M
Toyota Voltz,Toyota,Voltz,Automatic,1800.0,2003,21,Kenyan Used,569999.0,500k-1M
Honda Fit,Honda,Fit,Automatic,1300.0,2011,13,Kenyan Used,729999.0,500k-1M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2017,7,Kenyan Used,3399999.0,3M-5M
Toyota Passo,Toyota,Passo,Automatic,1000.0,2016,8,Kenyan Used,999999.0,500k-1M
Toyota Hilux,Toyota,Hilux,Manual,2500.0,2015,9,Kenyan Used,3799999.0,3M-5M
Ford Ranger,Ford,Ranger,Manual,2200.0,2011,13,Kenyan Used,1599999.0,1M-2M
Ford Ranger,Ford,Ranger,Manual,3200.0,2023,1,Kenyan Used,4499999.0,3M-5M
Mitsubishi Galant Fortis,Mitsubishi,Galant Fortis,Automatic,2000.0,2011,13,Kenyan Used,1249999.0,1M-2M
Toyota Vanguard,Toyota,Vanguard,Automatic,2400.0,2011,13,Kenyan Used,1749999.0,1M-2M
Toyota Premio,Toyota,Premio,Automatic,2000.0,2014,10,Kenyan Used,1449999.0,1M-2M
Volkswagen Golf Variant,Volkswagen,Golf Variant,Automatic,1400.0,2012,12,Kenyan Used,949999.0,500k-1M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2013,11,Kenyan Used,1949999.0,1M-2M
Nissan Bluebird,Nissan,Bluebird,Automatic,2000.0,2012,12,Kenyan Used,939999.0,500k-1M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2013,11,Kenyan Used,2169999.0,2M-3M
Suzuki Alto,Suzuki,Alto,Automatic,660.0,2017,7,Kenyan Used,859999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2014,10,Kenyan Used,799999.0,500k-1M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2017,7,Foreign Used,2699999.0,2M-3M
Porsche Cayenne,Porsche,Cayenne,Automatic,3600.0,2014,10,Kenyan Used,4599999.0,3M-5M
Toyota Vanguard,Toyota,Vanguard,Automatic,2400.0,2013,11,Kenyan Used,1999999.0,1M-2M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2016,8,Kenyan Used,3349999.0,3M-5M
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,2000.0,2016,8,Kenyan Used,3379999.0,3M-5M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2011,13,Kenyan Used,1599999.0,1M-2M
Toyota Hilux,Toyota,Hilux,Automatic,2500.0,2021,3,Kenyan Used,3599999.0,3M-5M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2016,8,Kenyan Used,1549999.0,1M-2M
Toyota Landcruiser Prado,Toyota,Landcruiser Prado,Automatic,2700.0,2006,18,Kenyan Used,2169999.0,2M-3M
Subaru Impreza,Subaru,Impreza,Automatic,1600.0,2015,9,Kenyan Used,1469999.0,1M-2M
Toyota Camry,Toyota,Camry,Automatic,2400.0,2008,16,Kenyan Used,1189999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2012,12,Kenyan Used,3499999.0,3M-5M
Toyota Hiace,Toyota,Hiace,Automatic,3000.0,2012,12,Kenyan Used,2499999.0,2M-3M
Toyota Crown,Toyota,Crown,Automatic,2500.0,2007,17,Kenyan Used,769000.0,500k-1M
Toyota Hilux,Toyota,Hilux,Manual,2500.0,2012,12,Kenyan Used,2349999.0,2M-3M
Nissan Sunny B15,Nissan,Sunny B15,Automatic,1500.0,2002,22,Kenyan Used,399999.0,0-500k
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2014,10,Kenyan Used,2489999.0,2M-3M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2014,10,Kenyan Used,1849999.0,1M-2M
Mazda Cx3,Mazda,Cx3,Automatic,1500.0,2016,8,Kenyan Used,1789999.0,1M-2M
Mazda Demio,Mazda,Demio,Automatic,1500.0,2017,7,Foreign Used,1489999.0,1M-2M
Nissan Note,Nissan,Note,Automatic,1200.0,2011,13,Kenyan Used,694999.0,500k-1M
Mercedes Benz E43,Mercedes Benz,E43,Automatic,3000.0,2017,7,Foreign Used,6999999.0,5M-10M
Mini Cooper,Mini,Cooper,Automatic,2000.0,2017,7,Foreign Used,3299999.0,3M-5M
Toyota Crown Athlete Hybrid,Toyota,Crown Athlete Hybrid,Automatic,2500.0,2013,11,Kenyan Used,1999999.0,1M-2M
Land Rover Defender 110,Land Rover,Defender 110,Automatic,3000.0,2021,3,Kenyan Used,18999999.0,Above 10
Honda Crv,Honda,Crv,Automatic,2400.0,2012,12,Kenyan Used,1649999.0,1M-2M
Volvo Xc60 T5,Volvo,Xc60 T5,Automatic,2000.0,2012,12,Kenyan Used,1699999.0,1M-2M
Lexus Rx450H,Lexus,Rx450H,Automatic,3500.0,2009,15,Kenyan Used,1959999.0,1M-2M
Volvo V60 T6,Volvo,V60 T6,Automatic,2000.0,2014,10,Kenyan Used,1799999.0,1M-2M
Toyota Fortuner,Toyota,Fortuner,Automatic,3000.0,2008,16,Kenyan Used,1799999.0,1M-2M
Nissan Serena,Nissan,Serena,Automatic,2000.0,2012,12,Kenyan Used,849999.0,500k-1M
Bmw 320I,Bmw,320I,Automatic,2000.0,2015,9,Kenyan Used,2449999.0,2M-3M
Toyota Crown Royal Saloon,Toyota,Crown Royal Saloon,Automatic,2500.0,2007,17,Kenyan Used,819999.0,500k-1M
Toyota Passo,Toyota,Passo,Automatic,1000.0,2017,7,Kenyan Used,959999.0,500k-1M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2016,8,Kenyan Used,1879999.0,1M-2M
Bmw 530I,Bmw,530I,Automatic,2000.0,2017,7,Foreign Used,4499999.0,3M-5M
Mercedes Benz C200 Avantgarde,Mercedes Benz,C200 Avantgarde,Automatic,1800.0,2012,12,Kenyan Used,2199999.0,2M-3M
Mitsubishi Pajero,Mitsubishi,Pajero,Manual,2400.0,1999,25,Kenyan Used,829999.0,500k-1M
Toyota Landcruiser Prado J120,Toyota,Landcruiser Prado J120,Automatic,2700.0,2008,16,Kenyan Used,2249999.0,2M-3M
Lexus Rx200T,Lexus,Rx200T,Automatic,2000.0,2017,7,Foreign Used,6299999.0,5M-10M
Peugeot 208,Peugeot,208,Automatic,1200.0,2017,7,Foreign Used,1249999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2016,8,Foreign Used,2749999.0,2M-3M
Audi A7,Audi,A7,Automatic,2000.0,2017,7,Foreign Used,4499999.0,3M-5M
Bmw X5 Xdrive35D M-Sport,Bmw,X5 Xdrive35D M-Sport,Automatic,3000.0,2014,10,Kenyan Used,4449999.0,3M-5M
Honda Fit,Honda,Fit,Automatic,1500.0,2011,13,Kenyan Used,749999.0,500k-1M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2010,14,Kenyan Used,1169999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2000.0,2014,10,Kenyan Used,2299999.0,2M-3M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2013,11,Kenyan Used,1299999.0,1M-2M
Toyota Premio,Toyota,Premio,Automatic,1800.0,2016,8,Kenyan Used,1799999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2000.0,2015,9,Kenyan Used,2449999.0,2M-3M
Toyota Vanguard,Toyota,Vanguard,Automatic,2400.0,2013,11,Kenyan Used,2299999.0,2M-3M
Renault Lutecia Trophy,Renault,Lutecia Trophy,Automatic,1600.0,2016,8,Foreign Used,1749999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2007,17,Kenyan Used,1049999.0,1M-2M
Lexus Rx270,Lexus,Rx270,Automatic,2700.0,2010,14,Kenyan Used,2199999.0,2M-3M
Mazda Cx3,Mazda,Cx3,Automatic,1500.0,2016,8,Kenyan Used,1799999.0,1M-2M
Nissan Sunny B15,Nissan,Sunny B15,Automatic,1500.0,2002,22,Kenyan Used,469999.0,0-500k
Nissan Tiida,Nissan,Tiida,Automatic,1500.0,2012,12,Kenyan Used,749999.0,500k-1M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2009,15,Kenyan Used,1399999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2015,9,Kenyan Used,4549999.0,3M-5M
Toyota Spade,Toyota,Spade,Automatic,1500.0,2014,10,Kenyan Used,1189999.0,1M-2M
Toyota Noah,Toyota,Noah,Automatic,2000.0,2014,10,Kenyan Used,1599999.0,1M-2M
Subaru Outback,Subaru,Outback,Automatic,3600.0,2017,7,Foreign Used,3779999.0,3M-5M
Volvo S60,Volvo,S60,Automatic,1600.0,2017,7,Foreign Used,2399999.0,2M-3M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2017,7,Foreign Used,2999999.0,2M-3M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2016,8,Kenyan Used,3249999.0,3M-5M
Volkswagen Golf Variant Gti,Volkswagen,Golf Variant Gti,Automatic,2000.0,2008,16,Kenyan Used,729999.0,500k-1M
Nissan Np300 Hardbody,Nissan,Np300 Hardbody,Automatic,3000.0,2004,20,Kenyan Used,719999.0,500k-1M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,2000.0,2016,8,Foreign Used,5799999.0,5M-10M
Mazda Axela,Mazda,Axela,Automatic,2200.0,2016,8,Foreign Used,1949999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2800.0,2018,6,Foreign Used,7799999.0,5M-10M
Toyota Premio 260,Toyota,Premio 260,Automatic,2000.0,2016,8,Foreign Used,2199999.0,2M-3M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2016,8,Kenyan Used,3449999.0,3M-5M
Mitsubishi Rvr,Mitsubishi,Rvr,Automatic,1800.0,2017,7,Foreign Used,2549999.0,2M-3M
Bmw X3,Bmw,X3,Automatic,2000.0,2017,7,Foreign Used,4499999.0,3M-5M
Toyota Harrier,Toyota,Harrier,Automatic,2400.0,2005,19,Kenyan Used,999999.0,500k-1M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2014,10,Kenyan Used,1449999.0,1M-2M
Toyota Vitz Jewela,Toyota,Vitz Jewela,Automatic,1300.0,2016,8,Kenyan Used,1199999.0,1M-2M
Toyota Roomy,Toyota,Roomy,Automatic,1000.0,2016,8,Foreign Used,1299999.0,1M-2M
Volkswagen Touareg,Volkswagen,Touareg,Automatic,3600.0,2008,16,Kenyan Used,1749999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2013,11,Kenyan Used,3499999.0,3M-5M
Audi Q3 2.0T Quattro,Audi,Q3 2.0T Quattro,Automatic,2000.0,2014,10,Kenyan Used,2599999.0,2M-3M
Jeep Cherokee Limited 3.2L V6,Jeep,Cherokee Limited 3.2L V6,Automatic,3200.0,2015,9,Kenyan Used,3849999.0,3M-5M
Mercedes Benz E200,Mercedes Benz,E200,Automatic,2000.0,2016,8,Foreign Used,5199999.0,5M-10M
Mitsubishi Colt,Mitsubishi,Colt,Automatic,1300.0,2008,16,Kenyan Used,669999.0,500k-1M
Toyota Mark Ii,Toyota,Mark Ii,Automatic,2000.0,2003,21,Kenyan Used,559999.0,500k-1M
Volkswagen Golf Gti,Volkswagen,Golf Gti,Automatic,2000.0,2013,11,Kenyan Used,1749999.0,1M-2M
Mercedes Benz Slk 200 Wald,Mercedes Benz,Slk 200 Wald,Automatic,1800.0,2013,11,Kenyan Used,4499999.0,3M-5M
Volkswagen Arteon,Volkswagen,Arteon,Automatic,2000.0,2018,6,Foreign Used,4899999.0,3M-5M
Mitsubishi Lancer Ralliart,Mitsubishi,Lancer Ralliart,Automatic,2000.0,2009,15,Kenyan Used,979999.0,500k-1M
Volvo V60 T3,Volvo,V60 T3,Automatic,1600.0,2016,8,Foreign Used,2349999.0,2M-3M
Subaru Exiga,Subaru,Exiga,Automatic,2000.0,2010,14,Kenyan Used,749999.0,500k-1M
Range Rover Vogue 3.0 Tdv6,Range Rover,Vogue 3.0 Tdv6,Automatic,3000.0,2015,9,Kenyan Used,9699999.0,5M-10M
Mazda Axela,Mazda,Axela,Automatic,2200.0,2017,7,Foreign Used,2349999.0,2M-3M
Mitsubishi Outlander,Mitsubishi,Outlander,Automatic,2000.0,2017,7,Foreign Used,3499999.0,3M-5M
Land Rover Defender 110,Land Rover,Defender 110,Automatic,2500.0,1990,34,Kenyan Used,1699999.0,1M-2M
Honda Fit Shuttle Hybrid,Honda,Fit Shuttle Hybrid,Automatic,1500.0,2013,11,Kenyan Used,969999.0,500k-1M
Toyota Auris Hybrid,Toyota,Auris Hybrid,Automatic,1800.0,2017,7,Foreign Used,1979999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2500.0,2017,7,Foreign Used,3649999.0,3M-5M
Bmw 320I Luxury,Bmw,320I Luxury,Automatic,2000.0,2015,9,Kenyan Used,2299999.0,2M-3M
Nissan Np300 Hardbody,Nissan,Np300 Hardbody,Automatic,3000.0,2006,18,Kenyan Used,549999.0,500k-1M
"Subaru Forester ""Sf5""",Subaru,"Forester ""Sf5""",Manual,2000.0,2001,23,Kenyan Used,499999.0,0-500k
Mercedes Benz C180,Mercedes Benz,C180,Automatic,1800.0,1998,26,Kenyan Used,529999.0,500k-1M
Mazda Cx5,Mazda,Cx5,Automatic,2500.0,2017,7,Foreign Used,3449999.0,3M-5M
Mercedes Benz Ml 320,Mercedes Benz,Ml 320,Automatic,3200.0,2002,22,Kenyan Used,899999.0,500k-1M
Volkswagen Golf R,Volkswagen,Golf R,Automatic,2000.0,2015,9,Kenyan Used,3349999.0,3M-5M
Mitsubishi Pajero,Mitsubishi,Pajero,Automatic,3200.0,2000,24,Kenyan Used,999999.0,500k-1M
Volkswagen Golf 1.4L Tsi,Volkswagen,Golf 1.4L Tsi,Automatic,1400.0,2014,10,Kenyan Used,1799999.0,1M-2M
Volvo S60 T4 R-Design,Volvo,S60 T4 R-Design,Automatic,1600.0,2014,10,Kenyan Used,1699999.0,1M-2M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2016,8,Kenyan Used,1249999.0,1M-2M
Audi A5,Audi,A5,Automatic,2000.0,2016,8,Kenyan Used,2999999.0,2M-3M
Nissan Note,Nissan,Note,Automatic,1200.0,2013,11,Kenyan Used,849999.0,500k-1M
Mercedes Benz C250,Mercedes Benz,C250,Automatic,2000.0,2015,9,Kenyan Used,3849999.0,3M-5M
Jeep Cherokee Sport,Jeep,Cherokee Sport,Automatic,2400.0,2016,8,Foreign Used,3779999.0,3M-5M
Toyota Avensis,Toyota,Avensis,Automatic,1800.0,2012,12,Kenyan Used,1199999.0,1M-2M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2005,19,Kenyan Used,699999.0,500k-1M
Toyota Fielder,Toyota,Fielder,Automatic,1800.0,2016,8,Foreign Used,1749999.0,1M-2M
Toyota Crown Royal Saloon,Toyota,Crown Royal Saloon,Automatic,2500.0,2011,13,Kenyan Used,1249999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2015,9,Kenyan Used,2099999.0,2M-3M
Nissan March,Nissan,March,Automatic,1200.0,2014,10,Kenyan Used,629999.0,500k-1M
Peugeot 308,Peugeot,308,Automatic,1200.0,2016,8,Foreign Used,2299999.0,2M-3M
Toyota Allion 1.5L,Toyota,Allion 1.5L,Automatic,1500.0,2009,15,Kenyan Used,1199999.0,1M-2M
Mitsubishi Outlander Phev,Mitsubishi,Outlander Phev,Automatic,2000.0,2014,10,Kenyan Used,2199999.0,2M-3M
Mazda Atenza,Mazda,Atenza,Automatic,2200.0,2017,7,Foreign Used,2849999.0,2M-3M
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,1400.0,2014,10,Kenyan Used,1949999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2016,8,Foreign Used,3999999.0,3M-5M
Nissan March,Nissan,March,Automatic,1200.0,2013,11,Kenyan Used,549999.0,500k-1M
Mercedes Benz C180,Mercedes Benz,C180,Automatic,1600.0,2017,7,Foreign Used,3349999.0,3M-5M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2008,16,Kenyan Used,849999.0,500k-1M
Toyota Hiace 2.7L,Toyota,Hiace 2.7L,Automatic,2700.0,2009,15,Kenyan Used,999999.0,500k-1M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2016,8,Foreign Used,3999999.0,3M-5M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2009,15,Kenyan Used,649999.0,500k-1M
Mazda Demio,Mazda,Demio,Automatic,1300.0,2014,10,Kenyan Used,889999.0,500k-1M
Mitsubishi Colt,Mitsubishi,Colt,Manual,1500.0,2011,13,Kenyan Used,989999.0,500k-1M
Nissan Note Dig-S,Nissan,Note Dig-S,Automatic,1200.0,2013,11,Kenyan Used,899999.0,500k-1M
Toyota Ractis,Toyota,Ractis,Automatic,1500.0,2014,10,Kenyan Used,1349999.0,1M-2M
Mercedes Benz E200,Mercedes Benz,E200,Automatic,2000.0,2016,8,Foreign Used,5499999.0,5M-10M
Toyota Kluger,Toyota,Kluger,Automatic,3500.0,2018,6,Foreign Used,4799999.0,3M-5M
Mercedes Benz Gl 350D,Mercedes Benz,Gl 350D,Automatic,3000.0,2015,9,Foreign Used,8899999.0,5M-10M
Range Rover Sport,Range Rover,Sport,Automatic,3000.0,2016,8,Foreign Used,8499999.0,5M-10M
Jeep Grand Cherokee,Jeep,Grand Cherokee,Automatic,3600.0,2016,8,Foreign Used,5499999.0,5M-10M
Toyota Fortuner,Toyota,Fortuner,Automatic,2800.0,2016,8,Foreign Used,5899999.0,5M-10M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2015,9,Kenyan Used,1799999.0,1M-2M
Volkswagen Passat Variant 1.4L,Volkswagen,Passat Variant 1.4L,Automatic,1400.0,2016,8,Kenyan Used,1899999.0,1M-2M
Toyota Mark Ii Regalia,Toyota,Mark Ii Regalia,Automatic,2000.0,2002,22,Kenyan Used,529999.0,500k-1M
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,5199999.0,5M-10M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2016,8,Kenyan Used,1689999.0,1M-2M
Audi A4 2.0T Quattro,Audi,A4 2.0T Quattro,Automatic,2000.0,2015,9,Kenyan Used,2099999.0,2M-3M
Volvo Xc90,Volvo,Xc90,Automatic,2000.0,2017,7,Foreign Used,7199999.0,5M-10M
Mazda Cx8,Mazda,Cx8,Automatic,2200.0,2017,7,Foreign Used,3899999.0,3M-5M
Nissan Murano 3.5L V6,Nissan,Murano 3.5L V6,Automatic,3500.0,2011,13,Kenyan Used,1199999.0,1M-2M
"Honda Vezel ""Rs"" Hybrid",Honda,"Vezel ""Rs"" Hybrid",Automatic,1500.0,2016,8,Kenyan Used,2199999.0,2M-3M
Mitsubishi Pajero Glx,Mitsubishi,Pajero Glx,Manual,2350.0,2006,18,Kenyan Used,1399999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2006,18,Kenyan Used,2199999.0,2M-3M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2017,7,Foreign Used,3649999.0,3M-5M
Volkswagen Golf Variant 1.4L Tsi,Volkswagen,Golf Variant 1.4L Tsi,Automatic,1400.0,2014,10,Kenyan Used,1549999.0,1M-2M
Suzuki Swift,Suzuki,Swift,Automatic,1200.0,2016,8,Foreign Used,1199999.0,1M-2M
Volkswagen Golf Variant 1.2L Tsi,Volkswagen,Golf Variant 1.2L Tsi,Automatic,1200.0,2014,10,Kenyan Used,1249999.0,1M-2M
Toyota Vanguard,Toyota,Vanguard,Automatic,2400.0,2010,14,Kenyan Used,1749999.0,1M-2M
Volkswagen Polo,Volkswagen,Polo,Automatic,1200.0,2012,12,Kenyan Used,889999.0,500k-1M
Nissan Latio,Nissan,Latio,Automatic,1200.0,2015,9,Kenyan Used,949999.0,500k-1M
Jeep Compass,Jeep,Compass,Automatic,2000.0,2015,9,Kenyan Used,2499999.0,2M-3M
Toyota Carina,Toyota,Carina,Manual,1500.0,1998,26,Kenyan Used,399999.0,0-500k
